Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
1,1,1.0630804112677,0,0,0,0,0,0,0,0,1.0630804112677,0,0,0,73.3341019880961,24.9008101504362,0
2,0,1,0,46,18,46,24,0,0,0,1.04611738347198,-2.21669906785886,46,18,46,24,0
3,0,1,0,31,25,0,0,0,0,0,1.03499989568885,-2.08021308007033,31,25,0,0,0
4,0,1,0,41,25,0,0,0,0,0,0.992113320422595,-5.62564706569133,41,25,0,0,0
1,1,1.06532165618913,0,0,0,0,0,0,0,0,1.06532165618913,0,0,0,88.8079576532888,4.06511809526293,0
2,0,1,0,50,22,25,35,0,0,0,1.06178092510503,-5.49909214122486,50,22,25,35,0
3,0,1,0,22,25,0,0,0,0,0,1.02659571561742,-5.61385255839617,22,25,0,0,0
4,0,1,0,40,8,0,0,0,0,0,1.03052428062884,-6.88162051139682,40,8,0,0,0
1,1,1.00373551524487,0,0,0,0,0,0,0,0,1.00373551524487,0,0,0,72.3284915662948,-25.5317468899142,0
2,0,1,0,20,20,44,43,0,0,0,0.986618043003366,-1.48445729535766,20,20,44,43,0
3,0,1,0,49,13,0,0,0,0,0,0.981815733745386,-4.18034860208833,49,13,0,0,0
4,0,1,0,45,20,0,0,0,0,0,0.971450693136046,-2.75743241984619,45,20,0,0,0
1,1,1.01051612022654,0,0,0,0,0,0,0,0,1.01051612022654,0,0,0,101.662139651354,3.19534705918958,0
2,0,1,0,43,24,28,30,0,0,0,0.981733170419791,-4.86747584710988,43,24,28,30,0
3,0,1,0,34,9,0,0,0,0,0,0.96724793873909,-7.07272555261697,34,9,0,0,0
4,0,1,0,49,17,0,0,0,0,0,0.944678303832466,-9.28445020361169,49,17,0,0,0
1,1,1.03828474172136,0,0,0,0,0,0,0,0,1.03828474172136,0,0,0,52.0371608029528,3.35614950003373,0
2,0,1,0,26,15,39,25,0,0,0,1.02407263691779,-4.73545810707783,26,15,39,25,0
3,0,1,0,42,20,0,0,0,0,0,1.01179544115485,-5.10313514572648,42,20,0,0,0
4,0,1,0,22,16,0,0,0,0,0,1.00275523815205,-5.08719550921179,22,16,0,0,0
1,1,1.01519883462891,0,0,0,0,0,0,0,0,1.01519883462891,0,0,0,31.8115341623354,-31.3386588093387,0
2,0,1,0,20,15,42,43,0,0,0,1.02265478687281,-1.14559807558511,20,15,42,43,0
3,0,1,0,29,25,0,0,0,0,0,1.01015792711266,-1.05433577910121,29,25,0,0,0
4,0,1,0,24,10,0,0,0,0,0,1.01161827895789,-1.92587748936359,24,10,0,0,0
1,1,1.03181086039528,0,0,0,0,0,0,0,0,1.03181086039528,0,0,0,65.3538272940486,5.90404693515936,0
2,0,1,0,45,17,50,21,0,0,0,1.01918937902526,-0.978132330740445,45,17,50,21,0
3,0,1,0,39,23,0,0,0,0,0,1.00477310193055,-1.92476894641307,39,23,0,0,0
4,0,1,0,30,17,0,0,0,0,0,0.993653157780233,-3.00321751277679,30,17,0,0,0
1,1,1.03448531646803,0,0,0,0,0,0,0,0,1.03448531646803,0,0,0,69.1840914564467,-7.29541894098436,0
2,0,1,0,30,9,22,33,0,0,0,1.02037065075228,-3.03494216324537,30,9,22,33,0
3,0,1,0,38,21,0,0,0,0,0,0.984095688458943,-5.0997715033223,38,21,0,0,0
